date,title,link,category,subcat,source,code
01/10/14,RBI permits re-repo of government securities to improve bond market liquidity,http://economictimes.indiatimes.com/markets/bonds/rbi-permits-re-repo-of-government-securities-to-improve-bond-market-liquidity/articleshow/43968134.cms,business,markets,economictimes,1
01/10/14,RBI has no bias either to cut or hike rates: Rajan,http://timesofindia.indiatimes.com/business/india-business/RBI-has-no-bias-either-to-cut-or-hike-rates-Rajan/articleshow/44009011.cms,business,india-business,timesofindia,1
01/10/14,RBI Policy: Onus on govt action to revive economy,http://economictimes.indiatimes.com/opinion/editorial/rbi-policy-onus-on-govt-action-to-revive-economy/articleshow/43963431.cms,letters and editorials,none,economictimes,2
01/10/14,RBI keeps interest rates unchanged; 7% inflation forecast clouds rate cut hopes,http://economictimes.indiatimes.com/news/economy/indicators/rbi-keeps-interest-rates-unchanged-7-inflation-forecast-clouds-rate-cut-hopes/articleshow/43950107.cms,business,economy,economictimes,1
01/10/14,RBI unbiased about the way to go on rates: Raghuram Rajan,http://www.thehindu.com/business/Economy/rbi-unbiased-about-the-way-to-go-on-rates-raghuram-rajan/article6466205.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
01/10/14,RBI to up FPI debt investment limit in a steady manner: Raghuram Rajan,http://www.financialexpress.com/news/rbi-to-up-fpi-debt-investment-limit-in-a-steady-manner-raghuram-rajan/1294791/,business,economy,financialexpress,1
01/10/14,Bonds neutral to RBI policy  auctions next trigger,http://www.financialexpress.com/news/bonds-neutral-to-rbi-policy-auctions-next-trigger/1294586/,business,markets,financialexpress,1
01/10/14,Rate-sensitives on defensive after RBI offers little hope on inflation,http://www.financialexpress.com/news/ratesensitives-on-defensive-after-rbi-offers-little-hope-on-inflation/1294588/,business,markets,financialexpress,1
01/10/14,No winds of change from RBI den,http://www.financialexpress.com/news/no-winds-of-change-from-rbi-den/1294595/,business,markets,financialexpress,1
01/10/14,Kudos to RBI for moving ahead with effective communication,http://www.financialexpress.com/news/kudos-to-rbi-for-moving-ahead-with-effective-communication/1294598/,business,markets,financialexpress,1
01/10/14,RBI has no bias either to cut or hike rates: Raghuram Rajan,http://www.financialexpress.com/news/rbi-has-no-bias-either-to-cut-or-hike-rates-raghuram-rajan/1294817/,business,economy,financialexpress,1
30/09/14,RBI Guv Raghuram Rajan refuses to cut rates: Analyst Reactions,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-refuses-to-cut-rates-analyst-reactions/1294395/,business,economy,financialexpress,1
30/09/14,RBI Guv Raghuram Rajan keeps key rate unchanged  says sharp pick-up in GDP growth may not sustain,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-keeps-key-rate-unchanged-says-sharp-pickup-in-gdp-growth-may-not-sustain/1294388/,business,economy,financialexpress,1
30/09/14,Highlights: RBI Guv Raghuram Rajan plumps for status quo on policy rates,http://www.financialexpress.com/news/highlights-rbi-guv-raghuram-rajan-plumps-for-status-quo-on-policy-rates/1294412/,business,economy,financialexpress,1
30/09/14,Indian economy set to achieve RBI's inflation target: Guv Raghuram Rajan,http://www.financialexpress.com/news/indian-economy-set-to-achieve-rbis-inflation-target-guv-raghuram-rajan/1294410/,business,economy,financialexpress,1
30/09/14,RBI unveils more measures to deepen trading in bond market,http://economictimes.indiatimes.com/markets/bonds/rbi-unveils-more-measures-to-deepen-trading-in-bond-market/articleshow/43915733.cms,business,markets,economictimes,1
30/09/14,RBI should have seized opportunity to cut interest rate: India Inc,http://www.financialexpress.com/news/rbi-should-have-seized-opportunity-to-cut-interest-rate-india-inc/1294463/,business,company,financialexpress,1
30/09/14,Bond yields steady ahead of RBI policy review,http://economictimes.indiatimes.com/markets/bonds/bond-yields-steady-ahead-of-rbi-policy-review/articleshow/43872736.cms,business,markets,economictimes,1
30/09/14,RBI takes small steps to deepen markets,http://economictimes.indiatimes.com/markets/bonds/rbi-takes-small-steps-to-deepen-markets/articleshow/43894683.cms,business,markets,economictimes,1
30/09/14,BSE Sensex edges higher; earnings key as RBI policy review had little impact,http://www.financialexpress.com/news/bse-sensex-edges-higher-earnings-key-as-rbi-policy-review-had-little-impact/1294403/,business,markets,financialexpress,1
30/09/14,Bond yields edge up on RBI inflation stance; rupee  shares choppy,http://economictimes.indiatimes.com/markets/bonds/bond-yields-edge-up-on-rbi-inflation-stance-rupee-shares-choppy/articleshow/43876444.cms,business,markets,economictimes,1
30/09/14,10-year yield at over 2-week high as RBI says to cut HTM,http://economictimes.indiatimes.com/markets/bonds/10-year-yield-at-over-2-week-high-as-rbi-says-to-cut-htm/articleshow/43896200.cms,business,markets,economictimes,1
30/09/14,RBI keeps key rates unchanged in monetary policy review,http://economictimes.indiatimes.com/news/economy/policy/rbi-keeps-key-rates-unchanged-in-monetary-policy-review/articleshow/43874938.cms,business,economy,economictimes,1
30/09/14,BSE Sensex down 30 points in early trade ahead of RBI policy,http://www.financialexpress.com/news/bse-sensex-down-30-points-in-early-trade-ahead-of-rbi-policy/1294352/,business,markets,financialexpress,1
30/09/14,RBI's monetary policy: 5 key takeways from Raghuram Rajan's review,http://economictimes.indiatimes.com/news/economy/policy/rbis-monetary-policy-5-key-takeways-from-raghuram-rajans-review/articleshow/43877515.cms,business,economy,economictimes,1
30/09/14,RBI keeps rates on hold in its monetary policy: Instant view,http://economictimes.indiatimes.com/news/economy/policy/rbi-keeps-rates-on-hold-in-its-monetary-policy-instant-view/articleshow/43878517.cms,business,economy,economictimes,1
30/09/14,BSE Sensex up 90 pts as RBI holds key rates,http://www.financialexpress.com/news/bse-sensex-up-90-pts-as-rbi-holds-key-rates/1294403/,business,markets,financialexpress,1
30/09/14,RBI Guv Raghuram Rajan refuses to cut rtaes  warns on inflation  GDP growth,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-refuses-to-cut-rtaes-warns-on-inflation-gdp-growth/1294388/,business,banking,financialexpress,1
30/09/14,Sensex ends 33 points higher in volatile trade post RBI policy,http://www.thehindu.com/business/Economy/sensex-ends-33-points-higher-in-volatile-trade-post-rbi-policy/article6461469.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
30/09/14,Sensex down 30 points in early trade ahead of RBI policy,http://www.thehindu.com/business/markets/sensex-down-30-points-in-early-trade-ahead-of-rbi-policy/article6460394.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,markets,thehindu,1
30/09/14,Rupee hits 7-month low ahead of RBI policy review,http://www.financialexpress.com/news/rupee-hits-7month-low-ahead-of-rbi-policy-review/1294311/,business,banking,financialexpress,1
30/09/14,Sensex up 90 points as RBI holds key rates,http://www.thehindu.com/business/markets/sensex-up-90-points-as-rbi-holds-key-rates/article6460718.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,markets,thehindu,1
30/09/14, RBI keeps key rate unchanged,http://www.thehindu.com/business/Economy/rbi-keeps-key-rate-unchanged/article6460630.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
30/09/14,RBI Guv Raghuram Rajan keeps key policy rate unchanged at 8 pct  warns on inflation  economic growth,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-keeps-key-policy-rate-unchanged-at-8-pct-warns-on-inflation-economic-growth/1294388/,business,banking,financialexpress,1
30/09/14,RBI monetary policy: Raghuram Rajan expected to hold interest rates steady,http://www.financialexpress.com/news/rbi-monetary-policy-raghuram-rajan-expected-to-hold-interest-rates-steady/1294326/,business,banking,financialexpress,1
30/09/14,RBI Guv Raghuram Rajan refuses to cut rates: Analysts React,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-refuses-to-cut-rates-analysts-react/1294395/,business,banking,financialexpress,1
30/09/14,Indian rupee seen range-bound ahead of RBI policy review,http://www.financialexpress.com/news/indian-rupee-seen-rangebound-ahead-of-rbi-policy-review/1294329/,business,banking,financialexpress,1
30/09/14,Accept self-attested documents to open account: RBI to banks,http://www.financialexpress.com/news/accept-selfattested-documents-to-open-account-rbi-to-banks/1294475/,business,banking,financialexpress,1
30/09/14,Indian Rupee down 9 paise against US dollar ahead of RBI policy announcement,http://www.financialexpress.com/news/indian-rupee-down-9-paise-against-us-dollar-ahead-of-rbi-policy-announcement/1294347/,business,banking,financialexpress,1
30/09/14,RBI will cut interest rate at the right time: G S Sandhu,http://www.financialexpress.com/news/rbi-will-cut-interest-rate-at-the-right-time-g-s-sandhu/1294438/,business,economy,financialexpress,1
30/09/14,RBI Governor Raghuram Rajan policy review: Read full statement,http://www.financialexpress.com/news/rbi-governor-raghuram-rajan-policy-review-read-full-statement/1294394/,business,banking,financialexpress,1
30/09/14,Economy set to achieve inflation target: RBI guv,http://www.financialexpress.com/news/economy-set-to-achieve-inflation-target-rbi-guv/1294410/,business,economy,financialexpress,1
30/09/14,RBI Guv Raghuram Rajan softens stance on Jan Dhan Yojana  says it is a welcome scheme,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-softens-stance-on-jan-dhan-yojana-says-it-is-a-welcome-scheme/1294433/,business,economy,financialexpress,1
30/09/14,One reason why  RBI Guv Raghuram Rajan may not cut key policy rates,http://www.financialexpress.com/news/one-reason-why-rbi-guv-raghuram-rajan-may-not-cut-key-policy-rates/1294353/,business,economy,financialexpress,1
29/09/14,BSE Sensex edges lower; ICICI Bank  other rate-sensitives fall  ahead of RBI policy,http://www.financialexpress.com/news/bse-sensex-edges-lower-icici-bank-other-ratesensitives-fall-ahead-of-rbi-policy/1294117/,business,markets,financialexpress,1
29/09/14,Sensex ends lower in volatile trade ahead of RBI policy,http://www.thehindu.com/business/Economy/sensex-ends-lower-in-volatile-trade-ahead-of-rbi-policy/article6457905.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
29/09/14,RBI may not cut interest rates as inflation levels still high,http://www.financialexpress.com/news/rbi-may-not-cut-interest-rates-as-inflation-levels-still-high/1294071/,business,banking,financialexpress,1
29/09/14,RBI governor Raghuram Rajan unlikely to cut rates in September 30 monetary policy,http://economictimes.indiatimes.com/news/economy/indicators/rbi-governor-raghuram-rajan-unlikely-to-cut-rates-in-september-30-monetary-policy/articleshow/43759086.cms,business,economy,economictimes,1
29/09/14,RBI nudges banks in India to mine Facebook and Twitter to know customers better,http://www.financialexpress.com/news/rbi-nudges-banks-in-india-to-mine-facebook-and-twitter-to-know-customers-better/1293942/,business,banking,financialexpress,1
28/09/14,Market Outlook: RBI policy to drive markets in a holiday-shortened week ahead,http://www.financialexpress.com/news/market-outlook-rbi-policy-to-drive-markets-in-a-holidayshortened-week-ahead/1293676/,business,markets,financialexpress,1
27/09/14,RBI unlikely to cut policy rate,http://www.thehindu.com/business/Economy/rbi-unlikely-to-cut-policy-rate/article6453111.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
26/09/14,FinMin  RBI to decide breakup of govt bonds for H2FY15 today,http://www.financialexpress.com/news/finmin-rbi-to-decide-breakup-of-govt-bonds-for-h2fy15-today/1292944/,business,economy,financialexpress,1
26/09/14,RBI releases H2 issuance calendar for government bonds,http://economictimes.indiatimes.com/markets/bonds/rbi-releases-h2-issuance-calendar-for-government-bonds/articleshow/43554119.cms,business,markets,economictimes,1
26/09/14,RBI Governor Raghuram Rajan meets Arvind Mayaram ahead of monetary policy review,http://economictimes.indiatimes.com/news/economy/policy/rbi-governor-raghuram-rajan-meets-arvind-mayaram-ahead-of-monetary-policy-review/articleshow/43546190.cms,business,economy,economictimes,1
26/09/14,Nifty Forecast: Market movement may depend on RBI monetary policy review  says Vivek Gupta,http://www.financialexpress.com/news/nifty-forecast-market-movement-may-depend-on-rbi-monetary-policy-review-says-vivek-gupta/1293193/,business,markets,financialexpress,1
25/09/14,RBI Guv Raghuram Rajan says need to tackle 'persistent' inflation,http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-says-need-to-tackle-persistent-inflation/1292647/,business,economy,financialexpress,1
25/09/14,RBI chief Raghuram Rajan says need to tackle 'persistent' inflation,http://economictimes.indiatimes.com/news/economy/indicators/rbi-chief-raghuram-rajan-says-need-to-tackle-persistent-inflation/articleshow/43403072.cms,business,economy,economictimes,1
24/09/14,Macro indicators improving but rate cut still away: RBI Governor Raghuram Rajan,http://economictimes.indiatimes.com/news/economy/policy/macro-indicators-improving-but-rate-cut-still-away-rbi-governor-raghuram-rajan/articleshow/43278926.cms,business,economy,economictimes,1
24/09/14,RBI to sell 91-day t-bills at 8.58%: Poll,http://economictimes.indiatimes.com/markets/money-markets/rbi-to-sell-91-day-t-bills-at-8-58-poll/articleshow/43309467.cms,business,money,economictimes,1
24/09/14,Talent  leadership requirements need to be planned over 5-10 yrs: RBI panel,http://www.financialexpress.com/news/talent-leadership-requirements-need-to-be-planned-over-510-yrs-rbi-panel/1292109/,business,banking,financialexpress,1
24/09/14,"India needs ""sensible"" regulations to spur growth  says RBI Governor Raghuram Rajan",http://economictimes.indiatimes.com/news/economy/policy/india-needs-sensible-regulations-to-spur-growth-says-rbi-governor-raghuram-rajan/articleshow/43355481.cms,business,economy,economictimes,1
22/09/14,Easing liquidity may make RBI less hawkish: Deutsche,http://www.financialexpress.com/news/easing-liquidity-may-make-rbi-less-hawkish-deutsche/1291569/,business,banking,financialexpress,1
22/09/14,Easing liquidity may make RBI less hawkish: Deutsche Bank,http://economictimes.indiatimes.com/markets/money-markets/easing-liquidity-may-make-rbi-less-hawkish-deutsche-bank/articleshow/43142656.cms,business,money,economictimes,1
21/09/14,RBI Governor Raghuram Rajan frowns on 'subsidising' foreign education loans,http://economictimes.indiatimes.com/news/economy/finance/rbi-governor-raghuram-rajan-frowns-on-subsidising-foreign-education-loans/articleshow/43074460.cms,business,economy,economictimes,1
20/09/14,Forex reserves fall for 2nd week on dollar selling by RBI,http://economictimes.indiatimes.com/markets/forex/forex-reserves-fall-for-2nd-week-on-dollar-selling-by-rbi/articleshow/42954723.cms,business,markets,economictimes,1
20/09/14,RBI cancels licence of Ajmer Urban Cooperative Bank,http://www.financialexpress.com/news/rbi-cancels-licence-of-ajmer-urban-cooperative-bank/1291112/,business,banking,financialexpress,1
19/09/14,RBI guidelines pay off  CDR cell gets just 1 referral in Aug,http://www.financialexpress.com/news/rbi-guidelines-pay-off-cdr-cell-gets-just-1-referral-in-aug/1290562/,business,banking,financialexpress,1
19/09/14,Banks to be careful about Jan Dhan Yojana: RBI,http://www.thehindu.com/business/banks-to-be-careful-about-jan-dhan-yojana-rbi/article6427152.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,india,none,thehindu,3
18/09/14,Editorial: RBI being too hawkish,http://www.financialexpress.com/news/editorial-rbi-being-too-hawkish/1290171/,business,banking,financialexpress,1
18/09/14,RBI needs to raise policy rates to bring down inflation: IMF,http://www.financialexpress.com/news/rbi-needs-to-raise-policy-rates-to-bring-down-inflation-imf/1290544/,business,economy,financialexpress,1
17/09/14,Final norms for on-tap banking licence by fiscal end  says RBI,http://www.financialexpress.com/news/final-norms-for-ontap-banking-licence-by-fiscal-end-says-rbi/1289840/,business,banking,financialexpress,1
17/09/14,RBI Guv Raghuram Rajan rues missing 'political will' despite 'solutions being clear',http://www.financialexpress.com/news/rbi-guv-raghuram-rajan-rues-missing-political-will-despite-solutions-being-clear/1290008/,business,economy,financialexpress,1
17/09/14,RBI eases norms for issuance of equity shares under FDI,http://economictimes.indiatimes.com/news/economy/policy/rbi-eases-norms-for-issuance-of-equity-shares-under-fdi/articleshow/42729605.cms,business,economy,economictimes,1
17/09/14,RBI to sell 91-day treasury bills at 8.60%: Poll,http://economictimes.indiatimes.com/markets/money-markets/rbi-to-sell-91-day-treasury-bills-at-8-60-poll/articleshow/42693485.cms,business,money,economictimes,1
17/09/14,RBI wants segregation of CMD post  panel to appoint directors,http://www.financialexpress.com/news/rbi-wants-segregation-of-cmd-post-panel-to-appoint-directors/1289880/,business,banking,financialexpress,1
17/09/14,RBI Governor Raghuram Rajan warns against lowering guard on foreign capital flow,http://economictimes.indiatimes.com/news/economy/finance/rbi-governor-raghuram-rajan-warns-against-lowering-guard-on-foreign-capital-flow/articleshow/42654635.cms,business,economy,economictimes,1
16/09/14,RBI suggests norms for reforming PSBs,http://www.thehindu.com/business/Industry/rbi-suggests-norms-for-reforming-psbs/article6416698.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,industry,thehindu,1
16/09/14,RBI limiting reliance on foreign debt  says Raghuram Rajan,http://economictimes.indiatimes.com/news/economy/finance/rbi-limiting-reliance-on-foreign-debt-says-raghuram-rajan/articleshow/42606995.cms,business,economy,economictimes,1
16/09/14,RBI Deputy Governor H R Khan: No proposal to raise debt limits for foreign investors as of now,http://economictimes.indiatimes.com/news/economy/policy/rbi-deputy-governor-h-r-khan-no-proposal-to-raise-debt-limits-for-foreign-investors-as-of-now/articleshow/42638549.cms,business,economy,economictimes,1
15/09/14,Free diesel prices at the earliest  RBI Guv Raghuram Rajan tells Centre,http://www.financialexpress.com/news/free-diesel-prices-at-the-earliest-rbi-guv-raghuram-rajan-tells-centre/1289303/,business,economy,financialexpress,1
15/09/14,Inflation dips to 5-yr low of 3.7 pct  but RBI rules out rate cut,http://www.financialexpress.com/news/inflation-dips-to-5yr-low-of-3.7-pct-but-rbi-rules-out-rate-cut/1289269/,business,economy,financialexpress,1
15/09/14,Inflation dip: Industry says RBI should cut rates,http://www.financialexpress.com/news/inflation-dip-industry-says-rbi-should-cut-rates/1289316/,business,company,financialexpress,1
15/09/14,In hour of crisis  RBI opens line of credit  goes easy on terms,http://www.financialexpress.com/news/in-hour-of-crisis-rbi-opens-line-of-credit-goes-easy-on-terms/1289218/,business,banking,financialexpress,1
15/09/14,RBI governor Raghuram Rajan chief calls for change in appointment process in state banks,http://www.financialexpress.com/news/rbi-governor-raghuram-rajan-chief-calls-for-change-in-appointment-process-in-state-banks/1289246/,business,banking,financialexpress,1
15/09/14,RBI Governor Raghuram Rajan calls for change in appointment process in state banks,http://economictimes.indiatimes.com/news/economy/policy/rbi-governor-raghuram-rajan-calls-for-change-in-appointment-process-in-state-banks/articleshow/42514271.cms,business,economy,economictimes,1
15/09/14,Need to lower inflation before cutting rates: RBI Governor Raghuram Rajan,http://economictimes.indiatimes.com/news/economy/policy/need-to-lower-inflation-before-cutting-rates-rbi-governor-raghuram-rajan/articleshow/42515254.cms,business,economy,economictimes,1
15/09/14,RBI governor Raghuram Rajan says investment growth needs to pick up,http://economictimes.indiatimes.com/news/economy/finance/rbi-governor-raghuram-rajan-says-investment-growth-needs-to-pick-up/articleshow/42513660.cms,business,economy,economictimes,1
14/09/14,RBI may issue final norms on small  payments banks in 2-3 months,http://economictimes.indiatimes.com/news/economy/policy/rbi-may-issue-final-norms-on-small-payments-banks-in-2-3-months/articleshow/42435515.cms,business,economy,economictimes,1
14/09/14,Money laundering: RBI takes action against erring Urban Cooperative Banks,http://economictimes.indiatimes.com/news/economy/finance/money-laundering-rbi-takes-action-against-erring-urban-cooperative-banks/articleshow/42435478.cms,business,economy,economictimes,1
13/09/14,Sluggish IIP  sticky inflation may prolong RBI rate pause,http://www.financialexpress.com/news/sluggish-iip-sticky-inflation-may-prolong-rbi-rate-pause/1288461/,business,economy,financialexpress,1
13/09/14,Mauritius contributes 49 pct of FDI equity inflows to Gujarat  RBI data shows,http://www.financialexpress.com/news/mauritius-contributes-49-pct-of-fdi-equity-inflows-to-gujarat-rbi-data-shows/1288736/,business,economy,financialexpress,1
12/09/14,Don?t follow straightjacket approach on inflation : RBI director ,http://www.thehindu.com/business/Economy/dont-follow-straightjacket-approach-on-inflation-rbi-director/article6401819.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,business,economy,thehindu,1
11/09/14,Don't follow straightjacket approach on inflation: RBI director,http://economictimes.indiatimes.com/news/economy/policy/dont-follow-straightjacket-approach-on-inflation-rbi-director/articleshow/42284102.cms,business,economy,economictimes,1
11/09/14,Gujarat High Court strikes down part of RBI default note,http://www.financialexpress.com/news/gujarat-high-court-strikes-down-part-of-rbi-default-note/1287671/,business,banking,financialexpress,1
11/09/14,RBI bought $10.6 billion in July to shore up reserves,http://www.financialexpress.com/news/rbi-bought-10.6-billion-in-july-to-shore-up-reserves/1287701/,business,banking,financialexpress,1
10/09/14,Wilful defaulter tag for entire group if one firm defaults  says RBI,http://economictimes.indiatimes.com/news/economy/policy/wilful-defaulter-tag-for-entire-group-if-one-firm-defaults-says-rbi/articleshow/42159083.cms,business,economy,economictimes,1
10/09/14,RBI may sell 91-day t-bills at 8.60 per cent: Poll,http://economictimes.indiatimes.com/markets/money-markets/rbi-may-sell-91-day-t-bills-at-8-60-per-cent-poll/articleshow/42157723.cms,business,money,economictimes,1
10/09/14,Wilful defaulters face Sebi  RBI heat as bad loans threaten to derail banking system,http://economictimes.indiatimes.com/news/economy/finance/wilful-defaulters-face-sebi-rbi-heat-as-bad-loans-threaten-to-derail-banking-system/articleshow/42127261.cms,business,economy,economictimes,1
10/09/14,RBI: Guarantor can also be declared wilful defaulter,http://www.financialexpress.com/news/rbi-guarantor-can-also-be-declared-wilful-defaulter/1287327/,business,banking,financialexpress,1
10/09/14,RBI net buyer of dollars for 4th month  scoops up $5.4 bn in July,http://economictimes.indiatimes.com/news/economy/finance/rbi-net-buyer-of-dollars-for-4th-month-scoops-up-5-4-bn-in-july/articleshow/42196612.cms,business,economy,economictimes,1
10/09/14,Wary banks park excess liquidity with RBI at 7%  but won't cut deposit rates,http://www.financialexpress.com/news/wary-banks-park-excess-liquidity-with-rbi-at-7-but-wont-cut-deposit-rates/1287347/,business,banking,financialexpress,1
10/09/14,Loan defaults: Tag guarantors as wilful defaulters if demands not met  says RBI,http://www.financialexpress.com/news/loan-defaults-tag-guarantors-as-wilful-defaulters-if-demands-not-met-says-rbi/1287446/,business,economy,financialexpress,1
09/09/14,RBI says 70 years upper age for private bank CEOs  MDs and whole-time directors,http://economictimes.indiatimes.com/news/economy/policy/rbi-says-70-years-upper-age-for-private-bank-ceos-mds-and-whole-time-directors/articleshow/42098162.cms,business,economy,economictimes,1
09/09/14,Upper age limit for MD and CEO of a private bank is 70 years: RBI,http://www.financialexpress.com/news/upper-age-limit-for-md-and-ceo-of-a-private-bank-is-70-years-rbi/1287299/,business,banking,financialexpress,1
09/09/14,SBI mulls contactless debit cards  seeks RBI nod,http://www.financialexpress.com/news/sbi-mulls-contactless-debit-cards-seeks-rbi-nod/1287078/,business,banking,financialexpress,1
09/09/14,RBI needs to buy $40 bn by March 2016: BofA ML,http://www.financialexpress.com/news/rbi-needs-to-buy-40-bn-by-march-2016-bofa-ml/1287079/,business,banking,financialexpress,1
09/09/14,Kerala goes for Rs 100 crore loan from RBI,http://timesofindia.feedsportal.com/c/33039/f/533916/s/3e463b97/sc/30/l/0Ltimesofindia0Bindiatimes0N0Cindia0CKerala0Egoes0Efor0ERs0E10A0A0Ecrore0Eloan0Efrom0ERBI0Carticleshow0C420A849280Bcms/story01.htm,india,none,timesofindia,3
08/09/14,RBI likely to buy dollars via state-run banks: Traders,http://economictimes.indiatimes.com/markets/money-markets/rbi-likely-to-buy-dollars-via-state-run-banks-traders/articleshow/42008613.cms,business,money,economictimes,1
08/09/14,State Bank of India seeks RBI's permission to launch contact-less debit cards,http://www.financialexpress.com/news/state-bank-of-india-seeks-rbis-permission-to-launch-contactless-debit-cards/1286997/,business,banking,financialexpress,1
07/09/14,BRICS bank not aimed at challenging IMF  WB: RBI Governor Raghuram Rajan,http://economictimes.indiatimes.com/news/economy/policy/brics-bank-not-aimed-at-challenging-imf-wb-rbi-governor-raghuram-rajan/articleshow/41937603.cms,business,economy,economictimes,1
07/09/14,Govt  RBI to devise monetary framework for central bank  says Raghuram Rajan,http://www.financialexpress.com/news/govt-rbi-to-devise-monetary-framework-for-central-bank-says-raghuram-rajan/1286500/,business,banking,financialexpress,1
07/09/14,BRICS bank not aimed at challenging IMF  World Bank: RBI Governor Raghuram Rajan,http://www.financialexpress.com/news/brics-bank-not-aimed-at-challenging-imf-world-bank-rbi-governor-raghuram-rajan/1286515/,business,banking,financialexpress,1
07/09/14,India's forex reserves under Chinese level uncomfortable  says Raghuram Rajan,http://www.financialexpress.com/news/india-s-forex-reserves-under-chinese-level-uncomfortable-says-raghuram-rajan/1238080,miscellaneous,,financialexpress,4
07/09/14,Monetary policy: Raghuram Rajan seen hawkish on debut  may roll back some FX steps,http://www.financialexpress.com/news/monetary-policy-raghuram-rajan-seen-hawkish-on-debut-may-roll-back-some-fx-steps/1171188,miscellaneous,,financialexpress,4
07/09/14,Capital infusion in PSU banks to boost investment: Raghuram Rajan,http://www.economictimes.indiatimes.com/news/economy/finance/capital-infusion-in-psu-banks-to-boost-investment-raghuram-rajan/articleshow/23739217.cms,miscellaneous,,economictimes,4
06/09/14,Bank licences: Bimal Jalan report in  wannabe bankers now look to Raghuram Rajan,http://www.financialexpress.com/news/bank-licences-bimal-jalan-report-in-wannabe-bankers-now-look-to-raghuram-rajan/1229388,miscellaneous,,financialexpress,4
05/09/14,RBI keeps tabs on sharp dips in overnight call rates,http://economictimes.indiatimes.com/markets/money-markets/rbi-keeps-tabs-on-sharp-dips-in-overnight-call-rates/articleshow/41770037.cms,business,money,economictimes,1
